Wall time,Step,Value
1778277812.591585,1,0.4806492030620575
1778277812.859534,3,0.7265917658805847
1778277813.100343,5,0.8302122354507446
1778277813.235933,6,0.8589263558387756
1778277813.47054,8,0.8901373147964478
1778277813.702322,10,0.9238451719284058
1778277813.819166,11,0.9525592923164368
1778277813.937686,12,0.9438202381134033
1778277814.069252,13,0.9687890410423279
1778277814.192607,14,0.9675405621528625
1778277814.313588,15,0.9812734127044678
1778277814.435917,16,0.9850187301635742
1778277814.555662,17,0.9762796759605408
1778277814.678186,18,0.9725343585014343
1778277814.797495,19,0.9850187301635742
1778277814.915276,20,0.9850187301635742
1778277815.154602,22,0.9862671494483948
1778277815.410881,24,0.9875156283378601
1778277815.534859,25,0.9400749206542969
1778277815.774429,27,0.9862671494483948
1778277816.140121,30,0.9912609457969666
1778277816.260539,31,0.9912609457969666
1778277816.379641,32,0.9900124669075012
1778277816.520057,33,0.9887640476226807
1778277816.63943,34,0.9912609457969666
1778277816.888526,36,0.9887640476226807
1778277817.260621,39,0.9900124669075012
1778277817.387726,40,0.9887640476226807
1778277817.6387,42,0.9900124669075012
1778277817.762778,43,0.9887640476226807
1778277817.883116,44,0.9900124669075012
1778277818.011472,45,0.9862671494483948
1778277818.134024,46,0.9925093650817871
1778277818.254044,47,0.9900124669075012
1778277818.504596,49,0.9912609457969666
1778277818.629391,50,0.9900124669075012
1778277819.013713,53,0.9937577843666077
1778277819.140359,54,0.9875156283378601
1778277819.26958,55,0.9900124669075012
1778277819.40226,56,0.9887640476226807
1778277819.524273,57,0.9912609457969666
1778277819.922226,60,0.9875156283378601
1778277820.046758,61,0.9912609457969666
1778277820.17136,62,0.9912609457969666
1778277820.296435,63,0.9900124669075012
1778277820.420106,64,0.9937577843666077
1778277820.5571,65,0.9887640476226807
1778277820.679426,66,0.9900124669075012
1778277820.80701,67,0.9900124669075012
1778277820.936504,68,0.9887640476226807
1778277821.058055,69,0.9937577843666077
1778277821.315735,71,0.9850187301635742
1778277821.444951,72,0.9900124669075012
1778277821.572706,73,0.9900124669075012
1778277821.701754,74,0.9887640476226807
1778277821.991721,76,0.9912609457969666
1778277822.267107,78,0.9937577843666077
1778277822.398365,79,0.9887640476226807
1778277822.669275,81,0.9937577843666077
1778277822.803032,82,0.9887640476226807
1778277823.086485,84,0.9912609457969666
1778277823.219015,85,0.9912609457969666
1778277823.366204,86,0.9837703108787537
1778277823.539297,87,0.9912609457969666
1778277823.678447,88,0.9937577843666077
1778277823.816599,89,0.9875156283378601
1778277824.097145,91,0.9875156283378601
1778277824.258631,92,0.9900124669075012
1778277824.403618,93,0.9912609457969666
1778277824.539326,94,0.9900124669075012
1778277824.832562,96,0.9912609457969666
1778277825.26231,99,0.9875156283378601
1778277825.401264,100,0.9887640476226807
1778277825.539282,101,0.9900124669075012
1778277825.67785,102,0.9850187301635742
1778277825.967706,104,0.9875156283378601
1778277826.10433,105,0.9912609457969666
1778277826.245199,106,0.9912609457969666
1778277826.67224,109,0.9900124669075012
1778277826.812165,110,0.9862671494483948
1778277827.212789,113,0.9887640476226807
1778277827.653227,116,0.9900124669075012
1778277827.805356,117,0.9925093650817871
1778277827.936964,118,0.9962546825408936
1778277828.072558,119,0.9912609457969666
1778277828.208643,120,0.9912609457969666
1778277828.622381,123,0.9937577843666077
1778277828.758791,124,0.9912609457969666
1778277828.894092,125,0.9925093650817871
1778277829.02887,126,0.9850187301635742
1778277829.158388,127,0.9887640476226807
1778277829.450127,129,0.9925093650817871
1778277829.605159,130,0.9912609457969666
1778277830.034031,133,0.9925093650817871
1778277830.448874,136,0.9912609457969666
1778277830.580331,137,0.9900124669075012
1778277830.853288,139,0.9912609457969666
1778277831.139432,141,0.9900124669075012
1778277831.276852,142,0.9925093650817871
1778277831.41685,143,0.9862671494483948
1778277831.558297,144,0.9887640476226807
1778277831.709037,145,0.9925093650817871
1778277831.844419,146,0.9887640476226807
1778277832.135692,148,0.9875156283378601
1778277832.282317,149,0.9900124669075012
1778277832.4234,150,0.9925093650817871
1778277832.570253,151,0.9850187301635742
1778277832.851415,153,0.9887640476226807
1778277833.019353,154,0.9850187301635742
1778277833.173213,155,0.9912609457969666
1778277833.458792,157,0.9862671494483948
1778277833.59959,158,0.995006263256073
1778277833.737228,159,0.9925093650817871
1778277834.010832,161,0.9875156283378601
1778277834.150119,162,0.9862671494483948
1778277834.422981,164,0.9912609457969666
1778277834.566473,165,0.9912609457969666
1778277834.85054,167,0.9912609457969666
1778277834.984832,168,0.9900124669075012
1778277835.142042,169,0.9912609457969666
1778277835.432727,171,0.9912609457969666
1778277835.57308,172,0.995006263256073
1778277836.014454,175,0.9900124669075012
1778277836.157756,176,0.9862671494483948
1778277836.299448,177,0.9850187301635742
1778277836.438858,178,0.9837703108787537
1778277836.710909,180,0.9900124669075012
1778277836.851889,181,0.9925093650817871
1778277837.12639,183,0.9887640476226807
1778277837.408705,185,0.9912609457969666
1778277837.551452,186,0.9875156283378601
1778277837.685874,187,0.9900124669075012
1778277837.822001,188,0.9887640476226807
1778277838.114006,190,0.9912609457969666
1778277838.255145,191,0.9912609457969666
1778277838.674482,194,0.9912609457969666
1778277839.248607,198,0.9875156283378601
1778277839.391723,199,0.9925093650817871
1778279501.779416,2,0.517241358757019
1778279501.957315,3,0.6254789233207703
1778279502.26267,5,0.7471264600753784
1778279502.413491,6,0.8151341080665588
1778279502.557127,7,0.8745210766792297
1778279502.703046,8,0.9080459475517273
1778279502.837386,9,0.9157088398933411
1778279503.244609,12,0.9712643623352051
1778279503.374681,13,0.9722222089767456
1778279503.522993,14,0.9703065156936646
1778279503.655732,15,0.9818007946014404
1778279504.070282,18,0.9865900278091431
1778279504.208342,19,0.984674334526062
1778279504.344761,20,0.982758641242981
1778279504.481208,21,0.9865900278091431
1778279504.617916,22,0.9885057210922241
1778279504.755075,23,0.9885057210922241
1778279505.046924,25,0.9865900278091431
1778279505.192053,26,0.9818007946014404
1778279505.335593,27,0.9885057210922241
1778279505.620565,29,0.992337167263031
1778279505.757245,30,0.9913793206214905
1778279505.888518,31,0.9865900278091431
1778279506.023376,32,0.9932950139045715
1778279506.155552,33,0.99042147397995
1778279506.290334,34,0.9913793206214905
1778279506.42803,35,0.992337167263031
1778279506.706271,37,0.99042147397995
1778279506.840419,38,0.9894636273384094
1778279507.128316,40,0.9913793206214905
1778279507.730795,44,0.992337167263031
1778279507.892264,45,0.984674334526062
1778279508.194443,47,0.992337167263031
1778279508.337063,48,0.99042147397995
1778279508.482782,49,0.9856321811676025
1778279508.622178,50,0.9932950139045715
1778279508.768947,51,0.99042147397995
1778279508.917038,52,0.9875478744506836
1778279509.075853,53,0.982758641242981
1778279509.385771,55,0.9913793206214905
1778279509.835492,58,0.99042147397995
1778279509.988373,59,0.9913793206214905
1778279510.137132,60,0.9932950139045715
1778279510.285035,61,0.9894636273384094
1778279510.600023,63,0.992337167263031
1778279510.903598,65,0.9894636273384094
1778279511.210649,67,0.9913793206214905
1778279511.517319,69,0.9894636273384094
1778279511.81387,71,0.9818007946014404
1778279511.963628,72,0.9885057210922241
1778279512.110826,73,0.9885057210922241
1778279512.262597,74,0.9837164878845215
1778279512.41211,75,0.99042147397995
1778279512.71411,77,0.9875478744506836
1778279512.865393,78,0.9932950139045715
1778279513.165365,80,0.99042147397995
1778279513.319433,81,0.9885057210922241
1778279513.461309,82,0.9913793206214905
1778279513.792396,84,0.9913793206214905
1778279514.56437,89,0.9932950139045715
1778279514.868789,91,0.9932950139045715
1778279515.023156,92,0.992337167263031
1778279515.331327,94,0.9942528605461121
1778279515.490689,95,0.992337167263031
1778279515.649485,96,0.9885057210922241
1778279515.815142,97,0.992337167263031
1778279515.968364,98,0.99042147397995
1778279516.126509,99,0.9894636273384094
1778279516.277014,100,0.982758641242981
1778279516.43047,101,0.982758641242981
1778279516.581567,102,0.9932950139045715
1778279516.732578,103,0.982758641242981
1778279517.34869,107,0.984674334526062
1778279517.502808,108,0.9913793206214905
1778279517.812568,110,0.9865900278091431
1778279518.279743,113,0.9913793206214905
1778279518.89815,117,0.99042147397995
1778279519.057308,118,0.992337167263031
1778279519.227696,119,0.99042147397995
1778279519.381631,120,0.99042147397995
1778279519.705511,122,0.9913793206214905
1778279519.857222,123,0.9913793206214905
1778279520.009645,124,0.9885057210922241
